,F-value,p-value
taker_sell_volume,180.20323408323785,1.4478379929932863e-78
taker_buy_volume,177.22481018401166,2.7570669288168218e-77
difficulty,137.2089813912484,4.528605966987914e-60
transactions_count_inflow,127.70563511731834,5.630200383618764e-56
volume,107.34821959687798,3.384125825730532e-47
addresses_count_inflow,94.35880780297596,1.369587698083807e-41
estimated_leverage_ratio,90.23061342449633,8.308506224061409e-40
tokens_transferred_total,86.33277291572394,4.0121131703453696e-38
tokens_transferred_mean,64.78155073282866,8.327555518404753e-29
taker_buy_ratio,56.372692560326634,3.623699037947361e-25
taker_sell_ratio,56.37269256032663,3.623699037947361e-25
taker_buy_sell_ratio,55.18174181505423,1.1875238176669393e-24
coinbase_premium_index_usdt_adjusted,54.613374680713356,2.092507027025278e-24
exchange_supply_ratio,50.30444266778993,1.5350185912194082e-22
blockreward_usd,49.66264183967579,2.9107636385507334e-22
coinbase_premium_gap_usdt_adjusted,48.0370982243984,1.4719698948180223e-21
fees_transaction_mean_usd,46.55906131922639,6.4265418051598344e-21
fees_transaction_median_usd,41.93031685343795,6.499329965192883e-19
addresses_count_receiver,40.6297715735511,2.3784076974207733e-18
coinbase_premium_gap,36.15250079824187,2.071338166046376e-16
fees_transaction_mean,33.24214836472352,3.78062001394436e-15
fees_transaction_median,28.335712227371896,5.063536509981754e-13
coinbase_premium_index,26.554435853940703,2.9976076251240262e-12
exchange_whale_ratio,24.2259966963196,3.065192763853583e-11
short_liquidations_usd,23.438944124592904,6.726359140577963e-11
long_liquidations,21.281811172000307,5.79895860848337e-10
addresses_count_outflow,16.992328937365883,4.208255016738732e-08
short_liquidations,15.266778687352735,2.3592345092880281e-07
addresses_count_active,13.667126080152537,1.166503711416531e-06
tokens_transferred_median,13.66134402022943,1.1732624599072476e-06
long_liquidations_usd,11.785971801803814,7.642488777919652e-06
blockreward,9.709595208061092,6.0870922594204374e-05
transactions_count_outflow,6.694026475589957,0.0012399597907839957
addresses_count_sender,4.091910286389127,0.01671571914463548
open_interest,2.9749396945461735,0.051064129681464066
miner_supply_ratio,2.901657154120561,0.05494605309130304
