prob_sell,prob_hold,prob_buy,predicted_signal
0.32631594,0.33237153,0.34131253,1
0.31799182,0.350736,0.3312722,0
0.31957304,0.35478538,0.32564154,0
0.28616235,0.40097913,0.31285846,0
0.32242942,0.3620879,0.3154827,0
0.33014438,0.32828298,0.3415726,1
0.32935637,0.32621717,0.34442645,1
0.33973315,0.3194608,0.34080607,1
0.3081745,0.40256178,0.2892637,0
0.284406,0.45340675,0.26218724,0
0.2839482,0.398893,0.31715876,0
0.27106076,0.48784575,0.24109344,0
0.25274447,0.4593383,0.28791726,0
0.2526232,0.46328157,0.2840953,0
0.30412924,0.43733197,0.2585388,0
0.37440312,0.2691078,0.35648912,-1
0.32996967,0.35062465,0.31940567,0
0.34297058,0.31990737,0.3371221,-1
0.33258504,0.3587329,0.30868208,0
0.3654873,0.29988572,0.33462697,-1
0.29792032,0.37094185,0.33113778,0
0.25807473,0.44321018,0.29871508,0
0.30724752,0.39246285,0.30028963,0
0.30496246,0.42011005,0.2749275,0
0.3230816,0.35439685,0.32252157,0
0.37415817,0.27880895,0.34703296,-1
0.24502386,0.47470462,0.28027144,0
0.2959146,0.3920794,0.31200597,0
0.32918647,0.3555118,0.3153017,0
0.33568433,0.32273346,0.3415822,1
0.25559396,0.45818803,0.28621805,0
0.3181141,0.35480517,0.3270808,0
0.3049677,0.38048166,0.3145506,0
0.28011832,0.40945485,0.31042692,0
0.3388481,0.3333499,0.32780188,-1
0.28321016,0.43436345,0.28242633,0
0.32306996,0.35237014,0.3245599,0
0.3737104,0.28816506,0.33812448,-1
0.31515953,0.34600902,0.33883142,0
0.25994456,0.45076486,0.28929055,0
0.2913578,0.38977918,0.318863,0
0.3391827,0.32615444,0.33466285,-1
0.31598058,0.3604418,0.32357764,0
0.2633795,0.49571148,0.24090903,0
0.17974548,0.59479433,0.2254602,0
0.25462896,0.45366693,0.29170412,0
0.33441174,0.31625885,0.3493294,1
0.31920037,0.3544533,0.32634637,0
0.32037368,0.3540587,0.32556763,0
0.3186993,0.36479288,0.3165078,0
0.26543847,0.4400838,0.29447776,0
0.3195582,0.37603748,0.3044043,0
0.34111813,0.32396126,0.33492061,-1
0.32313395,0.35244885,0.32441726,0
0.29160044,0.42253765,0.28586188,0
0.30656862,0.41088852,0.28254282,0
0.29823664,0.38522106,0.31654227,0
0.25405908,0.45979264,0.2861483,0
0.31835255,0.40945533,0.27219212,0
0.31904092,0.39463502,0.2863241,0
0.36116466,0.28763708,0.35119835,-1
0.25704014,0.45571572,0.28724414,0
0.29044113,0.40009218,0.30946666,0
0.33950776,0.3470902,0.31340212,0
0.3188814,0.339616,0.34150258,1
0.37343636,0.2693335,0.35723013,-1
0.37431443,0.26902956,0.35665596,-1
0.3744467,0.26884437,0.35670894,-1
0.31532717,0.35468403,0.3299888,0
0.341357,0.30736852,0.3512745,1
0.2936819,0.38376662,0.3225515,0
0.29664534,0.40276378,0.3005909,0
0.3328745,0.320132,0.34699357,1
0.33571061,0.31142324,0.3528661,1
0.3262517,0.3447649,0.32898346,0
0.3427023,0.31602538,0.34127238,-1
0.29334474,0.3851305,0.3215248,0
0.30487046,0.36828116,0.3268484,0
0.34093878,0.36896706,0.2900941,0
0.32384068,0.3401006,0.3360587,0
0.28269097,0.40776816,0.30954087,0
0.3067593,0.36746505,0.32577565,0
0.34864596,0.30114475,0.35020933,1
0.3197735,0.38016823,0.30005834,0
0.32185122,0.34472743,0.33342132,0
0.32203555,0.36155835,0.3164061,0
0.32120505,0.3464136,0.33238134,0
0.37549266,0.26214603,0.36236128,-1
0.35816303,0.28705332,0.35478362,-1
0.2881523,0.39381903,0.31802866,0
0.3269377,0.33302543,0.34003684,1
0.35308936,0.29430482,0.35260585,-1
0.32978928,0.31687313,0.35333756,1
0.37348992,0.26527852,0.3612316,-1
0.37000263,0.284374,0.3456234,-1
0.3404522,0.30592144,0.35362634,1
0.32845277,0.3430264,0.32852077,0
0.30411404,0.42354804,0.27233788,0
0.30907175,0.37608832,0.3148399,0
0.30604935,0.3640219,0.32992882,0
0.28294048,0.40516487,0.31189463,0
0.32730934,0.3484823,0.32420838,0
0.3130945,0.36717546,0.31973,0
0.28344625,0.40312877,0.31342503,0
0.2635139,0.4423002,0.29418594,0
0.31915763,0.35660654,0.32423586,0
0.33872062,0.3145453,0.34673414,1
0.2914128,0.39079738,0.31778976,0
0.2931023,0.3967059,0.31019175,0
