prob_sell,prob_hold,prob_buy,predicted_signal
0.32571536,0.3403105,0.33397406,0
0.3101218,0.3642763,0.325602,0
0.32793975,0.34479025,0.32727006,0
0.282444,0.4122995,0.30525646,0
0.27454036,0.43602136,0.28943828,0
0.32938036,0.33781648,0.33280316,0
0.3512462,0.2943514,0.35440242,0
0.33905703,0.3219924,0.33895057,0
0.31303233,0.39207795,0.29488972,0
0.29332566,0.42627934,0.28039494,0
0.30857587,0.38805556,0.30336854,0
0.24808614,0.5094488,0.24246499,0
0.24254945,0.47979224,0.27765834,0
0.27921835,0.41677073,0.30401087,0
0.30634204,0.42526466,0.2683933,0
0.37304285,0.279019,0.34793815,0
0.33699456,0.34195656,0.32104892,0
0.3489576,0.30693832,0.3441041,0
0.335785,0.35243532,0.31177962,0
0.36031345,0.30490714,0.33477944,0
0.29531595,0.37715274,0.3275313,0
0.26703364,0.43406427,0.298902,0
0.3153742,0.38184133,0.30278456,0
0.28611988,0.46754208,0.246338,0
0.3563025,0.3323361,0.3113614,0
0.37739766,0.27551505,0.3470873,1
0.29648367,0.4218466,0.2816697,0
0.3194519,0.3526527,0.32789543,0
0.2985156,0.41389784,0.28758654,0
0.3348759,0.3560638,0.30906028,0
0.2647371,0.44263768,0.29262522,0
0.25010815,0.48340732,0.2664845,0
0.16472208,0.59463257,0.24064527,0
0.3223183,0.34574497,0.33193678,0
0.17631832,0.57414055,0.24954116,0
0.29178596,0.41098097,0.2972332,0
0.26680732,0.46304825,0.2701445,0
0.3178267,0.35693288,0.32524043,0
0.3699375,0.29378143,0.3362811,0
0.39035475,0.30345708,0.30618823,1
0.24344084,0.4791521,0.27740705,0
0.29457062,0.38848516,0.31694427,0
0.34935388,0.33433673,0.31630936,0
0.34438276,0.3508246,0.3047927,0
0.27739197,0.46983927,0.25276878,0
0.15574795,0.64097416,0.20327787,0
0.26449817,0.42928493,0.30621693,0
0.33638287,0.3249339,0.33868328,0
0.33125263,0.34200197,0.32674545,0
0.28770128,0.40452486,0.3077739,0
0.31798592,0.37619913,0.30581492,0
0.22890133,0.49657577,0.2745229,0
0.37395626,0.268835,0.35720876,0
0.28639027,0.46839732,0.24521251,0
0.3392398,0.34691507,0.31384513,0
0.2935711,0.42774317,0.2786857,0
0.27628422,0.45120564,0.2725101,0
0.3224053,0.39970347,0.2778912,0
0.28658697,0.40677047,0.30664256,0
0.27620205,0.50000733,0.22379059,0
0.3249758,0.37844914,0.29657513,0
0.43029967,0.30206433,0.2676359,1
0.26540193,0.44151434,0.2930837,0
0.27445582,0.41070557,0.31483862,0
0.36684975,0.30354056,0.3296097,0
0.3133778,0.36135265,0.32526955,0
0.37398353,0.269137,0.3568794,0
0.3790502,0.26552376,0.3554261,1
0.37600526,0.2632488,0.36074594,1
0.36183766,0.3189776,0.3191848,0
0.3844801,0.3145751,0.30094486,1
0.31821063,0.39104697,0.29074243,0
0.3358962,0.3323785,0.33172527,0
0.36772883,0.27925175,0.35301942,0
0.37415904,0.2690834,0.3567576,0
0.35162008,0.3410406,0.30733928,0
0.37342882,0.26698685,0.35958436,0
0.30964166,0.37226695,0.31809142,0
0.31252494,0.36574656,0.32172847,0
0.3473175,0.350966,0.30171645,0
0.35570392,0.3263709,0.31792524,0
0.27383173,0.42737323,0.29879507,0
0.3137769,0.3582221,0.32800096,0
0.35462213,0.29971275,0.34566513,0
0.32780644,0.36698586,0.30520773,0
0.33322123,0.35870838,0.30807036,0
0.31285608,0.37193617,0.31520775,0
0.36054912,0.2776958,0.36175513,0
0.37460336,0.26586807,0.35952857,0
0.3737389,0.2688805,0.35738063,0
0.34622994,0.35535902,0.29841098,0
0.37973815,0.24024628,0.3800156,0
0.37876424,0.25574833,0.36548743,1
0.3853885,0.3347977,0.27981377,1
0.37362036,0.27017328,0.35620642,0
0.37944528,0.25265518,0.36789957,1
0.36889803,0.2917972,0.33930475,0
0.2939753,0.48432553,0.22169922,0
0.37371328,0.25563446,0.37065226,0
0.23908246,0.5087481,0.25216937,0
0.2819854,0.39851972,0.31949496,0
0.25416788,0.44247788,0.3033542,0
0.38710183,0.23183255,0.38106558,0
0.19867286,0.56137186,0.23995538,0
0.2827087,0.41178134,0.3055099,0
0.274799,0.42729416,0.2979069,0
0.35900646,0.3287195,0.31227404,0
0.35988042,0.29033595,0.3497837,0
0.30926198,0.37070212,0.32003593,0
0.3206539,0.3687102,0.31063598,0
0.36600646,0.28208217,0.3519114,0
0.4110547,0.25336322,0.33558205,1
0.3587231,0.2953245,0.34595233,0
0.37210378,0.26644567,0.36145058,0
0.37453222,0.26895416,0.35651365,0
0.43821692,0.30298764,0.25879538,1
0.37389326,0.26054615,0.36556062,0
0.3469075,0.31486803,0.33822453,0
0.37843546,0.2781802,0.34338436,1
0.37421635,0.26893508,0.3568486,0
0.38772282,0.3223914,0.28988582,1
0.37505186,0.26756495,0.35738322,1
0.3387048,0.3222372,0.33905798,0
0.3710636,0.27492654,0.35400984,0
0.2844716,0.40960744,0.30592096,0
0.28703338,0.4050089,0.3079577,0
0.2767883,0.42255384,0.30065787,0
0.3128794,0.34948432,0.3376362,0
0.37410542,0.28864658,0.3372479,0
0.36408308,0.31959364,0.3163233,0
0.35683388,0.35645708,0.286709,0
0.37622285,0.28245363,0.34132352,1
0.40740865,0.26348954,0.32910183,1
0.37343636,0.26933348,0.35723013,0
0.42426366,0.29737964,0.27835673,1
0.37274486,0.25912964,0.36812553,0
0.3730329,0.2633539,0.36361313,0
0.37813362,0.24599406,0.37587228,0
0.38658595,0.27163157,0.34178248,1
0.3577895,0.29414213,0.3480684,0
0.32452652,0.35171312,0.32376033,0
0.34794417,0.3433823,0.3086736,0
0.37435246,0.268401,0.3572466,0
0.3698279,0.29440954,0.33576253,0
0.31307405,0.3930455,0.29388037,0
0.37090144,0.27434787,0.35475066,0
0.32806283,0.3525021,0.31943515,0
0.3396534,0.32603148,0.33431512,0
0.35478035,0.31821716,0.3270025,0
0.25006583,0.45683128,0.29310286,0
0.32706374,0.3657282,0.30720803,0
0.20187867,0.52374315,0.27437812,0
0.29089117,0.39987683,0.309232,0
0.30151734,0.37826076,0.32022184,0
0.3589096,0.29539713,0.3456933,0
0.37289146,0.28852242,0.33858615,0
0.36879784,0.27752176,0.35368037,0
0.37343636,0.26933348,0.35723013,0
0.3140906,0.35592893,0.3299804,0
0.36626536,0.30401248,0.3297221,0
0.35308862,0.3265753,0.32033607,0
0.3748959,0.25428098,0.37082306,0
0.37553668,0.268245,0.35621822,1
0.3738103,0.26691312,0.35927656,0
0.37396523,0.26915047,0.35688424,0
0.46300215,0.30625078,0.2307471,1
0.37607116,0.24524099,0.3786879,0
0.32477587,0.34687456,0.32834953,0
0.36436212,0.28777134,0.34786648,0
0.31486607,0.35802105,0.32711282,0
0.36368868,0.31703627,0.31927505,0
0.32977468,0.3336205,0.33660477,0
0.28912953,0.40471175,0.3061587,0
0.33642927,0.35075143,0.31281924,0
0.30326697,0.41224694,0.28448603,0
0.23176785,0.49960455,0.2686276,0
0.29506528,0.38642785,0.31850687,0
0.3213517,0.3548661,0.32378218,0
0.2794691,0.4179023,0.3026286,0
0.3130673,0.36614352,0.32078922,0
0.31432298,0.36395362,0.32172346,0
0.31547093,0.36475164,0.3197774,0
0.32044885,0.35840037,0.32115078,0
0.27364087,0.4550677,0.2712914,0
0.37343636,0.26933348,0.35723013,0
0.3066663,0.369152,0.32418165,0
0.33383048,0.3213011,0.3448684,0
0.34290767,0.31291783,0.3441745,0
0.32181296,0.356504,0.32168302,0
0.2992505,0.42782632,0.27292317,0
0.373241,0.25592065,0.3708383,0
0.3079494,0.38144952,0.3106011,0
0.3059463,0.36478007,0.3292736,0
0.25469828,0.45695165,0.28835,0
0.32486436,0.36071116,0.3144244,0
0.32581142,0.3465085,0.32767996,0
0.27779347,0.41599023,0.3062163,0
0.2690804,0.43571344,0.29520613,0
0.2829308,0.46430013,0.2527691,0
0.27032784,0.43900436,0.2906677,0
0.25761518,0.44981533,0.29256952,0
0.21010824,0.5342028,0.25568888,0
0.31412497,0.39132586,0.29454923,0
