feature,window,F-value,p-value
addresses_count_active,120,3.268396049868603,0.03807969270694438
addresses_count_active,96,2.4487922833652305,0.08641348212188736
addresses_count_active,72,2.1815029614002563,0.1128879499565051
addresses_count_active,24,1.2193314152640353,0.29544085683377774
addresses_count_active,48,0.5609058143526703,0.5706972999886675
addresses_count_outflow,120,72.7661438433855,2.932031289979988e-32
addresses_count_outflow,96,63.26879269743557,3.758151501802801e-28
addresses_count_outflow,72,56.57749509436819,2.9546719222348026e-25
addresses_count_outflow,48,51.58764452784999,4.271026647047695e-23
addresses_count_outflow,24,51.513513379679615,4.59861762857069e-23
coinbase_premium_gap,120,91.98359584235172,1.453350630858713e-40
coinbase_premium_gap,96,88.16726772685352,6.468898494308813e-39
coinbase_premium_gap,72,79.99936959919468,2.1888472909863593e-35
coinbase_premium_gap,48,72.43053973947767,4.0952892296625817e-32
coinbase_premium_gap,24,59.84489246207891,1.1388283056127925e-26
coinbase_premium_index,120,49.586846522186114,3.139252570887616e-22
coinbase_premium_index,96,47.54364467688439,2.407617622783619e-21
coinbase_premium_index,72,43.451921718477124,1.4247547955195184e-19
coinbase_premium_index,48,39.97445516242574,4.572954692776576e-18
coinbase_premium_index,24,34.59411345834455,9.808667784487164e-16
exchange_supply_ratio,120,51.641064021305894,4.0495283568896884e-23
exchange_supply_ratio,96,51.43042324591193,4.995756636016268e-23
exchange_supply_ratio,72,51.19094035742451,6.342882782141669e-23
exchange_supply_ratio,48,50.928318704740754,8.241226792196817e-23
exchange_supply_ratio,24,50.74782636496647,9.86595703233915e-23
exchange_whale_ratio,120,57.27244476029395,1.4781840900310016e-25
exchange_whale_ratio,72,55.005975561669096,1.4148942532273116e-24
exchange_whale_ratio,48,53.4778132198481,6.489834389397553e-24
exchange_whale_ratio,96,52.46043978744184,1.789233624563177e-23
exchange_whale_ratio,24,48.95134957865759,5.915641623453342e-22
long_liquidations,120,78.44437945939173,1.0287967145575023e-34
long_liquidations,72,76.9252138156086,4.666806449430721e-34
long_liquidations,96,76.84937079777846,5.032757952519364e-34
long_liquidations,48,74.94151908177868,3.362035258553686e-33
long_liquidations,24,63.67775346381152,2.5005861561418837e-28
long_liquidations_usd,120,97.17538046240213,8.325081592611513e-43
long_liquidations_usd,96,92.5505678888489,8.269884585913639e-41
long_liquidations_usd,72,89.18821742613885,2.3431223210801498e-39
long_liquidations_usd,48,82.15389358328703,2.5648866340039675e-36
long_liquidations_usd,24,59.454308123973,1.6806572702030887e-26
miner_supply_ratio,24,2.793898363898255,0.061196631485648766
miner_supply_ratio,48,2.7202090563608694,0.06587567215083458
miner_supply_ratio,72,2.6395569228103315,0.07140788644542581
miner_supply_ratio,96,2.6064036154396866,0.07381458819762964
miner_supply_ratio,120,2.5840371227995056,0.07548389924329418
short_liquidations,120,69.4847339467435,7.694548642121768e-31
short_liquidations,96,68.03386807413833,3.263513636342159e-30
short_liquidations,72,66.4687586083146,1.5511706156482934e-29
short_liquidations,48,62.645330199650836,6.993860492315906e-28
short_liquidations,24,57.5764035756648,1.0918833431221609e-25
short_liquidations_usd,120,136.99237523991138,5.613895909206072e-60
short_liquidations_usd,96,134.46041524497252,6.91763136678477e-59
short_liquidations_usd,72,128.88426065659047,1.7481606504745436e-56
short_liquidations_usd,48,115.28262205193808,1.2780450933811058e-50
short_liquidations_usd,24,95.26544877736099,5.560043250493077e-42
taker_buy_ratio,24,3.428526421573503,0.032446191856947595
taker_buy_ratio,120,0.21334530551524625,0.8078782328528064
taker_buy_ratio,48,0.19086347458859262,0.8262462910806436
taker_buy_ratio,96,0.08345837800790219,0.9199295682808926
taker_buy_ratio,72,0.05457881930112214,0.9468839582003301
target,24,722.0518532481068,1.119941491731203e-307
target,48,383.41006952031483,2.4105371052854943e-165
target,72,263.73908989547505,2.2934258226320495e-114
target,96,208.9493493864217,6.624643608216907e-91
target,120,182.2603071917839,1.8923365663880192e-79
tokens_transferred_total,72,127.64849256319808,5.958693084084203e-56
tokens_transferred_total,96,127.63080161642411,6.0642268184321475e-56
tokens_transferred_total,120,127.31397746367045,8.30464825551691e-56
tokens_transferred_total,24,120.75235720205391,5.595637788551085e-53
tokens_transferred_total,48,120.69503809785982,5.923291791503458e-53
transactions_count_outflow,24,13.347709224483843,1.6050710046743277e-06
transactions_count_outflow,120,11.653972497707656,8.720088837788405e-06
transactions_count_outflow,96,10.341721625475762,3.2362843437420146e-05
transactions_count_outflow,48,10.286627662092954,3.419470096097922e-05
transactions_count_outflow,72,9.22965555759368,9.833907490928565e-05
